Node,Type,Degree,Degree_Centrality,Betweenness_Centrality
korB_1,gene,1,0.003703704,0
korA_1,gene,1,0.003703704,0
polB_1,gene,1,0.003703704,0
nuoB,gene,1,0.003703704,0
nuoC,gene,1,0.003703704,0
ndhD1,gene,1,0.003703704,0
aldHT,gene,1,0.003703704,0
yfmJ,gene,1,0.003703704,0
polB_2,gene,1,0.003703704,0
dinB,gene,1,0.003703704,0
betL,gene,1,0.003703704,0
korB_2,gene,1,0.003703704,0
korA_2,gene,1,0.003703704,0
sodA_1,gene,1,0.003703704,0
sodA_2,gene,1,0.003703704,0
recA_2,gene,1,0.003703704,0
dnaJ_3,gene,1,0.003703704,0
uspG,gene,1,0.003703704,0
opuCC,gene,1,0.003703704,0
cspB_2,gene,1,0.003703704,0
crcB_1,gene,1,0.003703704,0
crcB_2,gene,1,0.003703704,0
dnaJ_4,gene,1,0.003703704,0
tpx,gene,1,0.003703704,0
katG,gene,1,0.003703704,0
yceC_1,gene,1,0.003703704,0
cusS_1,gene,1,0.003703704,0
tsaA_1,gene,1,0.003703704,0
narJ,gene,1,0.003703704,0
arlS,gene,1,0.003703704,0
yojM,gene,1,0.003703704,0
uao,gene,1,0.003703704,0
frmA,gene,1,0.003703704,0
luxQ_1,gene,1,0.003703704,0
gor,gene,1,0.003703704,0
hslR,gene,1,0.003703704,0
proV,gene,1,0.003703704,0
opuAB,gene,1,0.003703704,0
yceC_2,gene,1,0.003703704,0
fpr_1,gene,1,0.003703704,0
hscB,gene,1,0.003703704,0
clpB_1,gene,1,0.003703704,0
recF_1,gene,1,0.003703704,0
yciC,gene,1,0.003703704,0
puuB_1,gene,1,0.003703704,0
betL_1,gene,1,0.003703704,0
betL_2,gene,1,0.003703704,0
clpB_2,gene,1,0.003703704,0
puuB_2,gene,1,0.003703704,0
barA,gene,1,0.003703704,0
sadH_1,gene,1,0.003703704,0
cspV,gene,1,0.003703704,0
gstB_3,gene,1,0.003703704,0
luxQ_2,gene,1,0.003703704,0
trxC,gene,1,0.003703704,0
betL_3,gene,1,0.003703704,0
trxA,gene,1,0.003703704,0
czcO,gene,1,0.003703704,0
recF_2,gene,1,0.003703704,0
fdxA,gene,1,0.003703704,0
sadH_2,gene,1,0.003703704,0
nuoE,gene,1,0.003703704,0
nuoG,gene,1,0.003703704,0
nuoL,gene,1,0.003703704,0
nuoM,gene,1,0.003703704,0
fpr_2,gene,1,0.003703704,0
cusS_2,gene,1,0.003703704,0
gstB_4,gene,1,0.003703704,0
rubA,gene,1,0.003703704,0
polC_1,gene,1,0.003703704,0
lifO,gene,1,0.003703704,0
polC_2,gene,1,0.003703704,0
trxB,gene,1,0.003703704,0
dnaN_1,gene,1,0.003703704,0
cspLA_1,gene,1,0.003703704,0
dnaN_2,gene,1,0.003703704,0
cspLA_2,gene,1,0.003703704,0
andAb,gene,1,0.003703704,0
npr,gene,1,0.003703704,0
hrb,gene,1,0.003703704,0
gsiB,gene,1,0.003703704,0
nhaX_1,gene,1,0.003703704,0
ydhV_1,gene,1,0.003703704,0
nhaX_2,gene,1,0.003703704,0
hspA_1,gene,1,0.003703704,0
degS,gene,1,0.003703704,0
ydhV_2,gene,1,0.003703704,0
ddrA_1,gene,1,0.003703704,0
hspA_2,gene,1,0.003703704,0
ydbD,gene,1,0.003703704,0
hspA_3,gene,1,0.003703704,0
flr,gene,1,0.003703704,0
ydhV_3,gene,1,0.003703704,0
korA,gene,1,0.003703704,0
korB,gene,1,0.003703704,0
ddrA_2,gene,1,0.003703704,0
